
 ___________
\___________/
     ___________      ______
    \___________/     | ___ \
 ___________          | |_/ /__ _ __ ___  ___  ___
\___________/         |  __/ _ \ '__/ __|/ _ \/ __|
 ___                  | | |  __/ |  \__ \  __/\__ \
\___/                 \_|  \___|_|  |___/\___||___/  0.53.1
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/__federation_expose_AlertManagerDatasource.js.map
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/__federation_expose_AlertManagerAlertsQuery.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/AlertManager.js.map
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/3963.5fef6ffb.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/2506.1e336b3b.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/1432.0c3e4ed0.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/9020.01c02370.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/3996.69a9c1dc.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/4626.173e602a.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/__federation_expose_PrometheusTimeSeriesQuery.d384e1e0.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/__federation_expose_TempoExplorer.8d4424e2.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/4793.4fc513d0.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_immer_dist_immer_mjs.js.map
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js.map
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_TextField_TextField_js.js.map
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_TextField_TextField_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_immer_dist_immer_mjs.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Stack_Stack_js-node_modules_mui_utils_esm_generateUtilityCl-61a4e3.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_serialize_dist_emotion-serialize_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Paper_Paper_js-node_modules_mui_material_utils_createSimple-dd7695.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_react_jsx-dev-runtime_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/src_components_LazyTextField_tsx-src_model_index_ts.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/__federation_expose_AlertManagerSilencesQuery.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/7894.9c5245d7.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/__federation_expose_PrometheusLabelValuesVariable.0677c3da.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/ClickHouse/mf-manifest.json
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_TextField_TextField_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_immer_dist_immer_mjs.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_serialize_dist_emotion-serialize_development_esm_js.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Paper_Paper_js-node_modules_mui_material_utils_createSimple-dd7695.js
time="2026-05-08T22:41:06+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_IconButton_IconButton_js-node_modules_mui_material_MenuItem-bee8bd.js
